Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
poor,5,medium,excellent,yes,poor,medium,Business process analyst,Testing and Maintainance Services,Technical,hard worker,CRM Technical Developer
medium,5,excellent,medium,no,medium,excellent,developer,Cloud Services,Technical,hard worker,Database Developer
excellent,2,excellent,medium,no,poor,medium,developer,SAaS services,Technical,hard worker,Technical Support
poor,0,medium,excellent,no,excellent,poor,cloud computing,product development,Technical,hard worker,Software Engineer
medium,5,medium,poor,yes,poor,poor,developer,Sales and Marketing,Technical,smart worker,Applications Developer
excellent,2,medium,medium,yes,poor,poor,system developer,Service Based,Management,smart worker,CRM Technical Developer
excellent,1,poor,poor,no,excellent,poor,system developer,Finance,Technical,smart worker,Database Developer
poor,2,poor,medium,yes,excellent,medium,security,BPA,Management,hard worker,CRM Technical Developer
poor,4,medium,medium,no,medium,excellent,Business process analyst,Finance,Technical,hard worker,Network Security Engineer
excellent,2,excellent,excellent,yes,medium,excellent,Business process analyst,Web Services,Management,hard worker,CRM Technical Developer
poor,6,medium,excellent,yes,medium,excellent,cloud computing,Product based,Technical,hard worker,CRM Technical Developer
excellent,0,poor,excellent,no,medium,medium,testing,Finance,Technical,hard worker,Software Engineer
excellent,2,poor,poor,no,excellent,poor,developer,product development,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,excellent,excellent,yes,medium,excellent,system developer,Web Services,Management,smart worker,Applications Developer
medium,4,medium,poor,no,medium,medium,testing,Sales and Marketing,Management,hard worker,CRM Technical Developer
medium,2,medium,excellent,no,medium,excellent,security,SAaS services,Management,smart worker,Systems Security Administrator
excellent,2,medium,excellent,no,excellent,medium,cloud computing,product development,Technical,smart worker,Network Security Engineer
poor,3,excellent,medium,yes,excellent,medium,developer,Web Services,Management,smart worker,Network Security Engineer
poor,4,excellent,medium,no,medium,excellent,security,Sales and Marketing,Management,hard worker,Software Engineer
medium,4,poor,excellent,no,medium,poor,system developer,Service Based,Management,smart worker,Systems Security Administrator
medium,2,poor,medium,yes,excellent,poor,system developer,product development,Management,smart worker,Web Developer
poor,4,medium,excellent,no,poor,poor,testing,Product based,Technical,smart worker,Web Developer
excellent,2,poor,poor,yes,excellent,poor,testing,Product based,Management,hard worker,Software Developer
excellent,3,medium,poor,yes,excellent,excellent,developer,Testing and Maintainance Services,Technical,hard worker,Technical Support
excellent,3,excellent,poor,yes,excellent,excellent,cloud computing,Testing and Maintainance Services,Management,hard worker,Database Developer
poor,6,poor,medium,yes,poor,excellent,developer,Finance,Management,smart worker,Database Developer
medium,1,poor,poor,yes,poor,excellent,cloud computing,Web Services,Technical,hard worker,Mobile Applications Developer
poor,0,poor,excellent,no,medium,poor,system developer,Finance,Management,hard worker,UX Designer
medium,0,medium,medium,yes,poor,poor,system developer,Service Based,Technical,smart worker,Database Developer
excellent,2,medium,poor,yes,poor,poor,developer,Sales and Marketing,Technical,hard worker,Software Engineer
medium,0,excellent,poor,yes,excellent,excellent,Business process analyst,Product based,Management,smart worker,Mobile Applications Developer
medium,6,poor,poor,no,excellent,excellent,testing,Web Services,Technical,hard worker,UX Designer
medium,6,excellent,excellent,no,excellent,medium,testing,Service Based,Technical,smart worker,Software Engineer
medium,0,excellent,poor,no,excellent,medium,system developer,Web Services,Management,smart worker,Network Security Engineer
excellent,3,poor,poor,yes,excellent,medium,system developer,product development,Management,hard worker,Software Engineer
poor,2,excellent,poor,yes,excellent,medium,developer,BPA,Technical,hard worker,Network Security Engineer
poor,0,medium,medium,yes,excellent,medium,Business process analyst,Testing and Maintainance Services,Management,hard worker,Systems Security Administrator
medium,2,medium,medium,yes,medium,excellent,security,BPA,Technical,hard worker,Systems Security Administrator
medium,6,poor,medium,yes,medium,excellent,security,Cloud Services,Management,hard worker,Software Engineer
poor,2,poor,poor,yes,excellent,excellent,Business process analyst,BPA,Technical,hard worker,Systems Security Administrator
excellent,5,medium,excellent,yes,poor,excellent,Business process analyst,Service Based,Technical,smart worker,Network Security Engineer
medium,4,excellent,excellent,yes,medium,medium,security,Finance,Technical,hard worker,UX Designer
medium,6,excellent,poor,no,medium,poor,system developer,Service Based,Technical,hard worker,Network Security Engineer
excellent,3,medium,medium,yes,excellent,excellent,developer,product development,Technical,smart worker,CRM Technical Developer
poor,6,medium,poor,yes,medium,excellent,security,Web Services,Technical,smart worker,Systems Security Administrator
poor,6,poor,poor,yes,excellent,poor,cloud computing,BPA,Management,smart worker,Applications Developer
medium,4,medium,poor,yes,excellent,medium,developer,product development,Management,hard worker,Web Developer
poor,2,poor,medium,no,excellent,medium,security,Service Based,Technical,smart worker,Mobile Applications Developer
poor,1,excellent,excellent,no,medium,poor,Business process analyst,Sales and Marketing,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,3,medium,excellent,no,excellent,medium,security,product development,Management,hard worker,Mobile Applications Developer
medium,0,medium,excellent,no,medium,medium,system developer,Product based,Technical,smart worker,Software Developer
medium,2,poor,excellent,no,excellent,poor,testing,SAaS services,Management,smart worker,Web Developer
poor,5,poor,poor,yes,poor,poor,security,Testing and Maintainance Services,Technical,smart worker,Software Developer
excellent,3,medium,medium,no,excellent,excellent,system developer,Sales and Marketing,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,2,poor,poor,no,medium,poor,cloud computing,Service Based,Management,hard worker,CRM Technical Developer
medium,5,poor,poor,yes,excellent,excellent,security,BPA,Technical,hard worker,Applications Developer
poor,4,medium,poor,yes,poor,excellent,developer,Product based,Management,hard worker,Database Developer
excellent,0,excellent,medium,no,medium,poor,Business process analyst,Testing and Maintainance Services,Management,smart worker,Database Developer
poor,0,medium,medium,no,poor,excellent,testing,Cloud Services,Management,hard worker,Web Developer
medium,2,poor,medium,no,poor,medium,system developer,SAaS services,Management,smart worker,Mobile Applications Developer
poor,0,poor,excellent,no,excellent,poor,testing,BPA,Management,smart worker,Systems Security Administrator
medium,6,poor,excellent,yes,medium,poor,Business process analyst,SAaS services,Technical,smart worker,Technical Support
excellent,0,poor,excellent,no,medium,medium,cloud computing,Finance,Technical,smart worker,Network Security Engineer
medium,6,medium,poor,no,excellent,medium,system developer,Finance,Management,hard worker,Applications Developer
poor,4,poor,medium,no,excellent,excellent,testing,Web Services,Technical,smart worker,Web Developer
medium,6,medium,medium,no,poor,poor,security,BPA,Technical,hard worker,Technical Support
medium,1,medium,poor,no,medium,excellent,cloud computing,product development,Management,hard worker,Applications Developer
poor,6,medium,medium,no,poor,medium,security,Service Based,Technical,smart worker,Network Security Engineer
medium,1,excellent,excellent,yes,poor,poor,cloud computing,BPA,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,2,excellent,medium,yes,poor,poor,security,Testing and Maintainance Services,Technical,hard worker,Software Developer
poor,2,poor,poor,yes,excellent,poor,cloud computing,Service Based,Management,hard worker,CRM Technical Developer
excellent,0,poor,poor,yes,poor,poor,Business process analyst,BPA,Technical,hard worker,Network Security Engineer
poor,5,poor,medium,no,poor,poor,developer,Testing and Maintainance Services,Management,hard worker,Software Developer
excellent,3,poor,poor,yes,excellent,excellent,Business process analyst,Finance,Technical,hard worker,UX Designer
medium,4,medium,excellent,no,poor,poor,cloud computing,Service Based,Technical,hard worker,Database Developer
poor,2,poor,poor,no,excellent,poor,security,BPA,Technical,hard worker,Database Developer
poor,1,medium,poor,no,poor,excellent,system developer,Web Services,Management,smart worker,Web Developer
excellent,4,poor,excellent,no,medium,excellent,cloud computing,Web Services,Management,smart worker,CRM Technical Developer
excellent,4,poor,poor,no,excellent,medium,system developer,SAaS services,Management,smart worker,Database Developer
excellent,5,excellent,poor,yes,excellent,excellent,cloud computing,Finance,Technical,smart worker,CRM Technical Developer
medium,0,poor,poor,yes,medium,excellent,system developer,Finance,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,4,medium,excellent,yes,excellent,poor,testing,SAaS services,Technical,smart worker,Technical Support
excellent,0,poor,medium,yes,poor,poor,testing,Web Services,Technical,hard worker,Web Developer
poor,6,poor,excellent,yes,poor,medium,developer,BPA,Technical,hard worker,Software Engineer
poor,6,medium,poor,yes,poor,excellent,Business process analyst,Web Services,Management,smart worker,Database Developer
poor,4,poor,medium,no,poor,excellent,developer,SAaS services,Management,smart worker,Database Developer
medium,0,excellent,excellent,yes,poor,excellent,developer,Service Based,Management,smart worker,Database Developer
excellent,2,poor,medium,no,medium,medium,developer,Finance,Management,hard worker,Mobile Applications Developer
excellent,3,poor,poor,no,poor,medium,testing,Web Services,Management,smart worker,UX Designer
medium,3,excellent,excellent,yes,medium,poor,testing,product development,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,0,excellent,medium,no,medium,medium,cloud computing,BPA,Management,hard worker,Network Security Engineer
medium,5,excellent,medium,no,excellent,poor,Business process analyst,Service Based,Management,hard worker,Database Developer
medium,5,excellent,excellent,no,medium,excellent,system developer,Cloud Services,Technical,hard worker,Systems Security Administrator
medium,3,poor,medium,yes,poor,medium,system developer,Finance,Management,hard worker,Mobile Applications Developer
excellent,4,excellent,poor,yes,medium,medium,system developer,product development,Technical,smart worker,CRM Technical Developer
poor,3,excellent,poor,no,excellent,medium,cloud computing,SAaS services,Management,smart worker,UX Designer
excellent,3,excellent,excellent,yes,medium,medium,testing,Finance,Management,smart worker,Technical Support
medium,4,excellent,excellent,no,medium,medium,cloud computing,Testing and Maintainance Services,Technical,hard worker,Applications Developer
excellent,4,medium,poor,no,medium,poor,system developer,Finance,Technical,smart worker,Applications Developer
medium,3,poor,poor,no,excellent,medium,developer,product development,Management,hard worker,CRM Technical Developer
medium,4,medium,poor,yes,poor,medium,system developer,Web Services,Management,smart worker,Applications Developer
medium,5,medium,medium,no,medium,poor,cloud computing,Cloud Services,Technical,hard worker,Database Developer
poor,0,medium,poor,no,poor,poor,cloud computing,Cloud Services,Technical,hard worker,Technical Support
medium,0,excellent,excellent,no,poor,excellent,cloud computing,Testing and Maintainance Services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,poor,poor,yes,medium,excellent,Business process analyst,Testing and Maintainance Services,Technical,hard worker,Applications Developer
poor,5,poor,medium,yes,medium,poor,system developer,Sales and Marketing,Technical,smart worker,Network Security Engineer
excellent,6,medium,poor,yes,medium,excellent,Business process analyst,SAaS services,Management,hard worker,Web Developer
excellent,4,excellent,poor,no,poor,excellent,Business process analyst,Testing and Maintainance Services,Management,hard worker,CRM Technical Developer
medium,2,poor,medium,yes,excellent,poor,Business process analyst,Sales and Marketing,Technical,smart worker,UX Designer
poor,6,poor,excellent,yes,poor,medium,security,SAaS services,Management,hard worker,Database Developer
poor,3,medium,poor,no,poor,medium,cloud computing,product development,Technical,hard worker,Network Security Engineer
poor,1,poor,medium,yes,poor,medium,Business process analyst,Product based,Management,hard worker,UX Designer
poor,3,excellent,medium,no,excellent,medium,developer,Sales and Marketing,Technical,hard worker,UX Designer
medium,6,excellent,poor,no,poor,medium,cloud computing,Service Based,Management,smart worker,Software Engineer
poor,6,medium,medium,yes,poor,poor,security,SAaS services,Technical,smart worker,Web Developer
poor,5,medium,medium,yes,medium,poor,developer,Product based,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,1,excellent,excellent,yes,poor,medium,system developer,Cloud Services,Management,hard worker,Applications Developer
medium,2,excellent,poor,no,medium,excellent,security,Service Based,Management,hard worker,Systems Security Administrator
medium,2,excellent,excellent,no,poor,poor,developer,Web Services,Technical,smart worker,Technical Support
medium,0,poor,medium,yes,excellent,medium,developer,Service Based,Technical,smart worker,Web Developer
medium,4,poor,medium,yes,medium,poor,system developer,BPA,Management,hard worker,Network Security Engineer
excellent,4,poor,medium,yes,medium,poor,Business process analyst,Service Based,Technical,hard worker,Network Security Engineer
medium,5,poor,medium,no,excellent,excellent,security,Product based,Management,hard worker,Systems Security Administrator
poor,0,poor,poor,no,poor,excellent,Business process analyst,product development,Management,smart worker,Software Developer
poor,0,poor,medium,yes,poor,poor,system developer,SAaS services,Management,hard worker,UX Designer
poor,4,excellent,excellent,no,poor,poor,Business process analyst,SAaS services,Management,smart worker,Web Developer
poor,5,poor,poor,no,excellent,excellent,system developer,BPA,Management,smart worker,Web Developer
poor,4,medium,medium,no,poor,excellent,security,Product based,Management,smart worker,Applications Developer
excellent,5,poor,poor,no,excellent,poor,testing,product development,Management,hard worker,Network Security Engineer
excellent,6,medium,poor,yes,medium,poor,security,Sales and Marketing,Technical,smart worker,Software Engineer
excellent,2,medium,medium,yes,poor,medium,developer,product development,Technical,hard worker,Web Developer
poor,0,poor,medium,no,poor,medium,testing,Finance,Technical,smart worker,UX Designer
excellent,1,excellent,excellent,no,medium,medium,cloud computing,Sales and Marketing,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,1,poor,medium,no,medium,poor,Business process analyst,Product based,Technical,smart worker,Software Engineer
poor,5,medium,excellent,no,medium,excellent,testing,product development,Management,smart worker,Network Security Engineer
medium,2,medium,medium,no,medium,excellent,system developer,Product based,Technical,smart worker,Web Developer
excellent,4,medium,medium,no,medium,poor,developer,Web Services,Technical,smart worker,Database Developer
excellent,1,excellent,excellent,yes,medium,poor,developer,Finance,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,2,poor,excellent,yes,poor,poor,testing,Finance,Management,smart worker,Database Developer
excellent,1,medium,excellent,no,excellent,poor,Business process analyst,Cloud Services,Technical,hard worker,Web Developer
poor,2,excellent,excellent,no,excellent,medium,Business process analyst,Product based,Technical,smart worker,CRM Technical Developer
poor,5,excellent,medium,no,medium,excellent,developer,Sales and Marketing,Technical,hard worker,Applications Developer
poor,5,medium,poor,yes,medium,poor,cloud computing,Web Services,Technical,smart worker,CRM Technical Developer
excellent,6,poor,medium,no,medium,poor,system developer,Finance,Technical,hard worker,Software Developer
excellent,6,excellent,excellent,no,excellent,medium,security,Web Services,Technical,smart worker,Systems Security Administrator
excellent,5,excellent,excellent,no,poor,poor,developer,Cloud Services,Technical,hard worker,Technical Support
poor,0,poor,medium,yes,poor,excellent,testing,Service Based,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,5,medium,medium,yes,poor,medium,developer,Service Based,Technical,hard worker,Software Developer
medium,5,medium,excellent,yes,excellent,excellent,developer,Testing and Maintainance Services,Technical,hard worker,CRM Technical Developer
medium,5,poor,excellent,no,poor,excellent,testing,Web Services,Management,smart worker,Applications Developer
medium,4,excellent,poor,yes,excellent,medium,testing,product development,Technical,smart worker,Technical Support
poor,0,poor,excellent,no,medium,medium,system developer,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
medium,1,excellent,poor,no,poor,medium,security,Finance,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,medium,medium,yes,poor,poor,testing,Cloud Services,Technical,smart worker,Mobile Applications Developer
excellent,2,medium,excellent,no,poor,excellent,cloud computing,product development,Management,smart worker,Applications Developer
excellent,4,excellent,medium,yes,poor,poor,Business process analyst,Web Services,Management,hard worker,Applications Developer
poor,1,medium,medium,no,poor,poor,cloud computing,Testing and Maintainance Services,Management,smart worker,Database Developer
medium,4,medium,excellent,yes,excellent,excellent,security,Cloud Services,Technical,smart worker,Software Developer
poor,2,medium,excellent,yes,poor,excellent,cloud computing,Finance,Management,hard worker,Technical Support
poor,5,poor,excellent,yes,excellent,poor,system developer,Finance,Technical,hard worker,Applications Developer
poor,1,poor,excellent,yes,excellent,excellent,developer,Service Based,Technical,hard worker,Systems Security Administrator
medium,6,excellent,poor,yes,poor,poor,Business process analyst,SAaS services,Management,smart worker,Database Developer
poor,6,poor,poor,no,medium,poor,developer,SAaS services,Management,smart worker,Applications Developer
excellent,6,poor,poor,yes,medium,medium,cloud computing,Cloud Services,Management,hard worker,Software Engineer
excellent,4,excellent,medium,no,medium,poor,cloud computing,Product based,Technical,smart worker,Technical Support
excellent,2,poor,medium,no,excellent,medium,security,Product based,Management,smart worker,Database Developer
poor,1,excellent,poor,no,poor,excellent,developer,Cloud Services,Technical,hard worker,UX Designer
medium,6,excellent,excellent,no,poor,medium,developer,Cloud Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
poor,6,excellent,medium,yes,excellent,medium,Business process analyst,Sales and Marketing,Technical,hard worker,Network Security Engineer
medium,5,medium,excellent,yes,excellent,medium,testing,Testing and Maintainance Services,Management,smart worker,Systems Security Administrator
medium,0,poor,medium,no,excellent,excellent,security,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
medium,6,excellent,medium,yes,excellent,medium,testing,Cloud Services,Technical,hard worker,Mobile Applications Developer
poor,4,poor,excellent,no,medium,medium,cloud computing,Finance,Management,smart worker,Software Developer
medium,0,medium,poor,yes,excellent,medium,system developer,Testing and Maintainance Services,Management,hard worker,Mobile Applications Developer
excellent,5,poor,medium,yes,poor,excellent,Business process analyst,BPA,Management,smart worker,Database Developer
excellent,5,excellent,medium,yes,poor,medium,security,Product based,Technical,hard worker,UX Designer
excellent,2,excellent,poor,no,excellent,medium,testing,Service Based,Management,hard worker,Database Developer
medium,1,poor,medium,no,excellent,poor,security,BPA,Technical,smart worker,Web Developer
medium,2,excellent,poor,yes,excellent,poor,cloud computing,Testing and Maintainance Services,Technical,hard worker,Database Developer
excellent,2,poor,medium,no,excellent,medium,developer,Cloud Services,Technical,hard worker,UX Designer
poor,2,poor,excellent,no,excellent,excellent,security,product development,Technical,hard worker,UX Designer
medium,6,poor,medium,no,excellent,medium,developer,Testing and Maintainance Services,Technical,hard worker,Database Developer
poor,5,medium,medium,no,poor,medium,cloud computing,product development,Technical,smart worker,Mobile Applications Developer
poor,0,medium,medium,yes,excellent,excellent,Business process analyst,BPA,Technical,hard worker,Technical Support
excellent,0,medium,poor,yes,medium,medium,security,Testing and Maintainance Services,Technical,hard worker,Systems Security Administrator
excellent,4,poor,excellent,yes,medium,medium,testing,Testing and Maintainance Services,Management,hard worker,Technical Support
poor,0,poor,poor,yes,poor,medium,Business process analyst,Finance,Technical,smart worker,UX Designer
medium,6,poor,poor,yes,poor,excellent,Business process analyst,Web Services,Technical,smart worker,Network Security Engineer
medium,6,poor,medium,no,poor,medium,cloud computing,SAaS services,Management,smart worker,Software Developer
poor,6,excellent,medium,yes,medium,poor,developer,Web Services,Technical,smart worker,Software Developer
poor,2,excellent,excellent,yes,excellent,excellent,system developer,Service Based,Technical,smart worker,Software Developer
poor,5,poor,medium,yes,excellent,excellent,cloud computing,Cloud Services,Technical,hard worker,Web Developer
poor,0,medium,poor,no,excellent,poor,Business process analyst,Sales and Marketing,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,0,medium,poor,yes,excellent,excellent,cloud computing,Sales and Marketing,Technical,hard worker,Software Developer
excellent,1,poor,medium,yes,medium,medium,system developer,Sales and Marketing,Management,smart worker,UX Designer
poor,4,medium,medium,yes,excellent,poor,system developer,Service Based,Technical,hard worker,Software Developer
excellent,1,excellent,medium,yes,medium,medium,testing,Finance,Technical,hard worker,UX Designer
excellent,2,excellent,excellent,yes,medium,poor,testing,Testing and Maintainance Services,Management,hard worker,Database Developer
excellent,2,poor,excellent,no,excellent,medium,Business process analyst,product development,Management,hard worker,Applications Developer
medium,2,poor,medium,no,medium,poor,testing,BPA,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,3,excellent,poor,no,poor,excellent,developer,Sales and Marketing,Management,smart worker,Software Developer
excellent,5,excellent,excellent,no,excellent,medium,system developer,product development,Technical,hard worker,CRM Technical Developer
excellent,2,poor,medium,yes,poor,medium,system developer,product development,Technical,smart worker,Software Engineer
medium,2,excellent,medium,no,excellent,medium,testing,Finance,Technical,smart worker,Mobile Applications Developer
excellent,1,excellent,excellent,no,poor,medium,system developer,Finance,Management,hard worker,Technical Support
excellent,5,medium,medium,no,excellent,poor,developer,SAaS services,Technical,hard worker,Software Developer
poor,6,excellent,medium,no,excellent,poor,security,Sales and Marketing,Management,hard worker,Systems Security Administrator
excellent,1,excellent,poor,no,poor,excellent,testing,Product based,Management,smart worker,Software Developer
medium,4,medium,poor,yes,excellent,poor,developer,product development,Management,smart worker,CRM Technical Developer
medium,6,medium,excellent,yes,poor,medium,testing,product development,Technical,hard worker,Technical Support
medium,1,medium,poor,no,medium,poor,testing,Cloud Services,Technical,hard worker,CRM Technical Developer
poor,1,excellent,excellent,yes,poor,excellent,security,Web Services,Technical,smart worker,Software Engineer
excellent,0,excellent,excellent,yes,medium,medium,system developer,SAaS services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,6,medium,poor,yes,poor,poor,testing,Web Services,Technical,smart worker,Software Developer
poor,2,poor,excellent,no,medium,medium,developer,Finance,Technical,smart worker,Systems Security Administrator
poor,3,poor,excellent,no,poor,poor,security,SAaS services,Technical,hard worker,Software Engineer
poor,5,poor,excellent,no,medium,medium,security,Service Based,Management,hard worker,Software Developer
excellent,0,excellent,excellent,yes,poor,poor,cloud computing,Service Based,Technical,hard worker,CRM Technical Developer
medium,3,medium,excellent,no,poor,excellent,cloud computing,Finance,Technical,smart worker,Software Developer
excellent,0,medium,poor,no,excellent,excellent,system developer,Cloud Services,Technical,smart worker,Software Engineer
medium,1,excellent,excellent,no,medium,medium,security,SAaS services,Technical,smart worker,Technical Support
medium,4,excellent,poor,no,excellent,medium,security,Cloud Services,Management,smart worker,CRM Technical Developer
medium,2,poor,excellent,yes,poor,excellent,Business process analyst,Product based,Technical,smart worker,Systems Security Administrator
excellent,0,poor,poor,yes,medium,excellent,testing,Product based,Management,hard worker,Systems Security Administrator
excellent,4,excellent,medium,no,poor,excellent,security,product development,Management,smart worker,Network Security Engineer
medium,2,excellent,medium,no,poor,excellent,cloud computing,Testing and Maintainance Services,Technical,hard worker,Network Security Engineer
excellent,2,poor,poor,no,excellent,poor,testing,Product based,Management,hard worker,Software Engineer
excellent,0,medium,poor,no,excellent,poor,developer,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
poor,6,poor,poor,yes,medium,excellent,Business process analyst,Web Services,Management,hard worker,Database Developer
poor,4,excellent,medium,yes,excellent,medium,system developer,Service Based,Technical,smart worker,Software Engineer
excellent,0,poor,medium,no,poor,medium,testing,Service Based,Technical,smart worker,Web Developer
excellent,5,poor,excellent,no,excellent,medium,developer,Finance,Technical,hard worker,UX Designer
excellent,6,poor,medium,no,medium,excellent,security,product development,Management,hard worker,Applications Developer
excellent,3,poor,excellent,no,medium,medium,security,Sales and Marketing,Management,hard worker,Software Developer
excellent,0,medium,poor,no,medium,excellent,Business process analyst,Testing and Maintainance Services,Management,hard worker,Software Engineer
excellent,2,excellent,medium,no,poor,excellent,developer,Product based,Technical,smart worker,Software Developer
poor,6,excellent,medium,yes,excellent,poor,system developer,Testing and Maintainance Services,Management,hard worker,UX Designer
excellent,2,medium,excellent,yes,excellent,poor,security,Sales and Marketing,Management,hard worker,Software Engineer
excellent,3,poor,medium,no,poor,medium,security,Cloud Services,Technical,smart worker,Mobile Applications Developer
poor,3,poor,medium,no,excellent,poor,developer,Service Based,Technical,smart worker,CRM Technical Developer
poor,2,poor,poor,no,poor,medium,developer,Product based,Technical,hard worker,Technical Support
medium,5,poor,poor,no,poor,poor,developer,Cloud Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,poor,no,medium,poor,security,BPA,Technical,hard worker,Technical Support
medium,0,medium,poor,yes,medium,excellent,cloud computing,Web Services,Management,hard worker,Network Security Engineer
medium,3,poor,poor,yes,poor,medium,cloud computing,Cloud Services,Management,hard worker,Network Security Engineer
poor,5,excellent,medium,yes,medium,poor,cloud computing,Product based,Technical,smart worker,Software Quality Assurance (QA) / Testing
